,STORE_ID,STORE_NAME,ADDRESS_CITY_NAME,ADDRESS_STATE_PROV_CODE,MSA_CODE,SEG_VALUE_NAME,PARKING_SPACE_QTY,SALES_AREA_SIZE_NUM,AVG_WEEKLY_BASKETS
0,389,SILVERLAKE,ERLANGER,KY,17140,MAINSTREAM,408.0,46073,24766.807692
1,2277,ANDERSON TOWNE CTR,CINCINNATI,OH,17140,UPSCALE,,81958,54052.519231
2,4259,WARSAW AVENUE,CINCINNATI,OH,17140,VALUE,,48813,31177.333333
3,6379,KINGWOOD,KINGWOOD,TX,26420,MAINSTREAM,,50237,20620.423077
4,6431,AT WARD ROAD,BAYTOWN,TX,26420,VALUE,350.0,43698,24321.942308
5,13853,RICHARDSON,RICHARDSON,TX,19100,MAINSTREAM,,53586,15787.391026
6,13859,MCKINNEY,MCKINNEY,TX,19100,MAINSTREAM,,47824,15345.237179
7,15755,KROGER JUNCTION S/C,PASADENA,TX,26420,VALUE,351.0,34373,18291.429487
8,23327,HOUSTON,HOUSTON,TX,26420,MAINSTREAM,,50722,30258.173077
9,23345,FRISCO,FRISCO,TX,19100,UPSCALE,,46369,21946.846154
10,25001,PINEWOOD,DAYTON,OH,19380,VALUE,351.0,34177,18034.967949
11,26983,DAYTON,DAYTON,OH,19380,VALUE,,48782,31461.224359
12,623,HOUSTON,HOUSTON,TX,26420,MAINSTREAM,,46930,36740.692308
13,2541,NORWOOD,ARLINGTON,TX,19100,MAINSTREAM,300.0,29231,11019.352564
14,4489,SWEETWATER PLAZA,SUGAR LAND,TX,26420,UPSCALE,,49030,21344.794872
15,10019,AT EASTEX FRWY,HOUSTON,TX,26420,VALUE,221.0,35675,19067.673077
16,13609,VANDALIA,VANDALIA,OH,19380,MAINSTREAM,,55663,21232.115385
17,15531,GOSHEN,GOSHEN,OH,17140,VALUE,,33667,13344.0
18,17599,KEARNEY,MESQUITE,TX,19100,VALUE,300.0,36994,15134.025641
19,19265,LATONIA,COVINGTON,KY,17140,MAINSTREAM,,55685,31578.134615
20,21485,HOUSTON,KATY,TX,26420,MAINSTREAM,,46369,26472.237179
21,26981,SPRINGFIELD,SPRINGFIELD,OH,44220,MAINSTREAM,,42081,25122.442308
22,2513,HOUSTON,HOUSTON,TX,26420,UPSCALE,,61833,32422.99359
23,19523,DUNCANVILLE,DUNCANVILLE,TX,19100,VALUE,400.0,48594,24567.75
24,19533,DENTON,DENTON,TX,19100,MAINSTREAM,,48330,28243.333333
25,25021,HAMILTON,HAMILTON,OH,17140,VALUE,1441.0,62961,34191.00641
26,367,15TH & MADISON,COVINGTON,KY,17140,VALUE,196.0,24721,12706.532051
27,2505,DICKINSON VILLAGE,DICKINSON,TX,26420,MAINSTREAM,319.0,41644,14460.108974
28,6187,ST. MARYS,SAINT MARYS,OH,47540,MAINSTREAM,,55474,20015.320513
29,8035,OVER-THE-RHINE,CINCINNATI,OH,17140,VALUE,17.0,10788,10434.705128
30,8041,LANDEN,MAINEVILLE,OH,17140,MAINSTREAM,1200.0,49074,14848.788462
31,13837,MAGNOLIA,MAGNOLIA,TX,26420,MAINSTREAM,,49164,27261.865385
32,15765,CYPRESS TOWN CENTER,HOUSTON,TX,26420,MAINSTREAM,,49068,25350.858974
33,17615,SUGARLAND,SUGAR LAND,TX,26420,MAINSTREAM,,48632,32490.858974
34,21479,WOOD FOREST S/C,HOUSTON,TX,26420,VALUE,,49104,29435.628205
35,25027,CINCINNATI,CINCINNATI,OH,17140,MAINSTREAM,,62656,43892.923077
36,25253,HIGHWAY 75,MCKINNEY,TX,19100,MAINSTREAM,,33931,11934.012821
37,29159,CARROLLTON,CARROLLTON,TX,19100,MAINSTREAM,,54927,25916.532051
38,613,EAST ALLEN,ALLEN,TX,19100,MAINSTREAM,464.0,64926,29386.416667
39,2523,LANDMARK PLACE S/C,GRAND PRAIRIE,TX,19100,VALUE,252.0,34373,14201.326923
40,11757,INDEPENDENCE,INDEPENDENCE,KY,17140,MAINSTREAM,,32943,16903.532051
41,12011,SHERMAN,SHERMAN,TX,43300,MAINSTREAM,,41325,23152.782051
42,21227,LIBERTY TWP,MIDDLETOWN,OH,17140,UPSCALE,,85710,34874.5
43,21237,LEBANON,LEBANON,OH,17140,MAINSTREAM,,86517,38465.128205
44,23075,TYLERSVILLE,WEST CHESTER,OH,17140,MAINSTREAM,564.0,51105,18842.429487
45,23349,GARLAND,GARLAND,TX,19100,VALUE,,46212,27822.608974
46,25229,CYPRESS,CYPRESS,TX,26420,MAINSTREAM,,59241,34977.435897
47,25233,ANTOINE TOWN CENTER,HOUSTON,TX,26420,VALUE,,46369,35788.032051
48,26973,MAINEVILLE,MAINEVILLE,OH,17140,MAINSTREAM,,48128,28241.012821
49,4245,LAWRENCEBURG,LAWRENCEBURG,IN,17140,MAINSTREAM,,58563,19274.673077
50,11967,NORTHBOROUGH SQ,HOUSTON,TX,26420,VALUE,294.0,25072,15915.74359
51,11993,DALLAS,DALLAS,TX,19100,UPSCALE,,57741,26100.711538
52,17627,FLOWER MOUND,FLOWER MOUND,TX,19100,UPSCALE,513.0,59213,18196.820513
53,21221,MIDDLETOWN,MIDDLETOWN,OH,17140,VALUE,,48128,17009.897436
54,23055,WALNUT HILLS/PEEBLES,CINCINNATI,OH,17140,VALUE,239.0,22920,12999.724359
55,24991,HYDE PARK,CINCINNATI,OH,17140,UPSCALE,1859.0,77730,50618.99359
56,25261,CROWLEY,CROWLEY,TX,19100,MAINSTREAM,,46368,26189.012821
57,2281,BLUE ASH,BLUE ASH,OH,17140,UPSCALE,,68500,32297.288462
58,2495,PLANTATION PLAZA,CLUTE,TX,26420,MAINSTREAM,407.0,48462,25507.448718
59,4503,ROCKWALL,ROCKWALL,TX,19100,UPSCALE,,56230,25289.326923
60,4521,PARKWAY SQUARE S/C,COLLEGE STATION,TX,17780,MAINSTREAM,418.0,34628,25632.807692
61,8263,THE WOODLANDS,THE WOODLANDS,TX,26420,UPSCALE,,51055,18876.99359
62,9825,DENT,CINCINNATI,OH,17140,MAINSTREAM,,54124,29915.903846
63,15547,WOODLAWN,CINCINNATI,OH,17140,MAINSTREAM,,48132,27357.570513
64,387,TOWN & COUNTRY,KETTERING,OH,19380,UPSCALE,270.0,44547,22867.326923
65,2279,MILFORD-MULBERRY,MILFORD,OH,17140,MAINSTREAM,771.0,44175,23037.442308
66,6179,DEERFIELD TWP,MASON,OH,17140,UPSCALE,,54448,35287.974359
67,11761,MIAMI TOWNSHIP,LOVELAND,OH,17140,UPSCALE,,53905,23348.064103
68,13827,BEAUMONT,BEAUMONT,TX,13140,MAINSTREAM,,50766,26000.570513
69,15541,LOVELAND,LOVELAND,OH,17140,MAINSTREAM,326.0,38858,18664.525641
70,15763,WOODLANDS,WOODLANDS,TX,26420,UPSCALE,,47530,12175.846154
71,19521,SOUTHLAKE,SOUTHLAKE,TX,19100,UPSCALE,,47757,14051.608974
72,21213,MT. CARMEL,CINCINNATI,OH,17140,MAINSTREAM,,46630,14511.788462
73,23061,LIBERTY TWP.,HAMILTON,OH,17140,MAINSTREAM,,42437,16591.301282
74,23067,WHIPP & BIGGER,KETTERING,OH,19380,MAINSTREAM,230.0,37319,14555.935897
75,27175,KATY,KATY,TX,26420,UPSCALE,,50224,24901.948718
76,28909,MIDDLETOWN,MIDDLETOWN,OH,17140,MAINSTREAM,,85876,28986.108974
